Date,Price,Open,High,Low
"Sep 11, 2020",1957.35,1952.55,1963.3,1944.35
"Sep 10, 2020",1964.3,1955.3,1975.2,1948.6
"Sep 09, 2020",1954.9,1939.4,1959.7,1926.3
"Sep 08, 2020",1943.2,1938,1948.3,1911.7
"Sep 07, 2020",1937.1,1940.7,1947.4,1930.45
"Sep 06, 2020",1940.65,1941.9,1944.3,1937.65
"Sep 04, 2020",1934.3,1938,1956.6,1921.6
"Sep 03, 2020",1937.8,1948.9,1956.6,1927.2
"Sep 02, 2020",1944.7,1976.8,1980.4,1938.9
"Sep 01, 2020",1978.9,1973.7,2001.2,1969.2
"Aug 31, 2020",1978.6,1973.9,1985.8,1962.3
"Aug 28, 2020",1974.9,1937.5,1983,1928.2
"Aug 27, 2020",1932.6,1963,1987,1914.7
"Aug 26, 2020",1952.5,1939,1963.4,1908.4
"Aug 25, 2020",1923.1,1935.9,1944.1,1919.1
"Aug 24, 2020",1939.2,1947.9,1970.3,1930.8
"Aug 21, 2020",1947,1955.6,1963.1,1916.6
"Aug 20, 2020",1946.5,1934.4,1963.1,1928.9
"Aug 19, 2020",1970.3,2010.5,2015.6,1930.5
"Aug 18, 2020",2013.1,1993.6,2024.6,1985.2
"Aug 17, 2020",1998.7,1956.4,2000.8,1939.1
"Aug 14, 2020",1949.8,1963.8,1970,1939.1
"Aug 13, 2020",1970.4,1927.3,1974.8,1923
"Aug 12, 2020",1949,1921.6,1961,1874.2
"Aug 11, 2020",1946.3,2038.4,2040.5,1911.3
"Aug 10, 2020",2039.7,2044.8,2060.8,2027.8
"Aug 07, 2020",2028,2076.4,2089.2,2024.8
"Aug 06, 2020",2069.4,2055,2081.8,2049
"Aug 05, 2020",2049.3,2037,2070.3,2027.5
"Aug 04, 2020",2021,1993.5,2037.7,1982.6
"Aug 03, 2020",1986.3,1997.4,2009.5,1975.2
"Jul 31, 2020",1985.9,1973.6,2005.4,1971.4
"Jul 30, 2020",1966.8,1986.4,1987.3,1952.3
"Jul 29, 2020",1976.7,1971.9,1998.4,1955.7
"Jul 28, 2020",1963.9,1963.2,2000,1927.5
"Jul 27, 2020",1955.4,1929,1971.3,1926.8
"Jul 24, 2020",1925.2,1912.3,1933.6,1908
"Jul 23, 2020",1917.4,1900,1927.1,1890.4
"Jul 22, 2020",1892.6,1867.8,1899,1867.8
"Jul 21, 2020",1869.6,1842.5,1870.5,1839.9
"Jul 20, 2020",1840.1,1835.5,1846.1,1830.7
"Jul 17, 2020",1833.7,1822.9,1837.6,1821
"Jul 16, 2020",1826.5,1840.7,1843.7,1819.9
"Jul 15, 2020",1841.6,1839.7,1847.2,1831.9
"Jul 14, 2020",1841.5,1834.2,1843,1819.3
"Jul 13, 2020",1843.7,1831.6,1847.7,1831.6
"Jul 10, 2020",1831.3,1837,1846.3,1825.5
"Jul 09, 2020",1833.5,1849.8,1854.6,1829.6
"Jul 08, 2020",1850.6,1832.6,1857,1829.1
"Jul 07, 2020",1834.3,1817.2,1835,1804.8
"Jul 06, 2020",1816.1,1809.3,1821.3,1801.6
"Jul 03, 2020",1787.6,1786.9,1788.7,1783.65
"Jul 02, 2020",1812,1802.2,1813.9,1788.3
"Jul 01, 2020",1801.9,1817.5,1827.1,1789.8
"Jun 30, 2020",1820.4,1803.7,1823.5,1794
"Jun 29, 2020",1800.1,1807.3,1808.6,1795.3
"Jun 26, 2020",1798.5,1792.5,1804,1772
"Jun 25, 2020",1788.4,1789.3,1796.6,1781.6
"Jun 24, 2020",1792.6,1800.4,1810.7,1787.8
"Jun 23, 2020",1797.1,1780,1801.5,1774
"Jun 22, 2020",1781.7,1780.3,1793.6,1769
"Jun 19, 2020",1768.6,1746.6,1775.6,1745.5
"Jun 18, 2020",1747.9,1752.9,1765.2,1739.6
"Jun 17, 2020",1753.4,1751.5,1756.8,1735.6
"Jun 16, 2020",1754.4,1751.4,1757.5,1739.8
"Jun 15, 2020",1744.9,1759.1,1759.6,1724.6
"Jun 12, 2020",1755.2,1751.7,1770.5,1746.9
"Jun 11, 2020",1757.6,1764.9,1772.6,1746
"Jun 10, 2020",1739,1737.7,1767,1732.8
"Jun 09, 2020",1740.3,1724.9,1747.5,1715.9
"Jun 08, 2020",1723.8,1706.1,1726,1700.1
"Jun 05, 2020",1701.9,1740.2,1741.9,1690.1
"Jun 04, 2020",1746.4,1721,1747.3,1718.5
"Jun 03, 2020",1723.5,1750.3,1754.1,1707.5
"Jun 02, 2020",1749.7,1766.2,1771,1743.4
"Jun 01, 2020",1763.7,1763.1,1774.5,1751.6
"May 29, 2020",1765.7,1748.7,1767.1,1740.7
"May 28, 2020",1742.7,1737.5,1757.3,1734.3
"May 27, 2020",1740.5,1738.8,1743.3,1714.8
"May 26, 2020",1740.5,1761,1768,1734.8
"May 25, 2020",1727,1730.55,1731.35,1719.25
"May 24, 2020",1730.65,1735.45,1735.9,1729.8
"May 22, 2020",1765.6,1755.9,1768.3,1750.6
"May 21, 2020",1750.4,1778.8,1779.8,1743.8
"May 20, 2020",1781.7,1777.7,1785.1,1773
"May 19, 2020",1773.4,1763,1779.6,1754.2
"May 18, 2020",1760.6,1780,1800,1756.2
"May 15, 2020",1778.7,1760.1,1783,1758
"May 14, 2020",1762,1743.3,1765.1,1735
"May 13, 2020",1737.3,1726.6,1744.5,1721
"May 12, 2020",1728,1721.1,1737.2,1717
"May 11, 2020",1720.9,1727.7,1734.2,1714.2
"May 08, 2020",1735.2,1743.5,1752.7,1724.5
"May 07, 2020",1743.7,1706.4,1750.5,1704.5
"May 06, 2020",1704.4,1730.5,1733.4,1698.8
"May 05, 2020",1728,1719,1733.7,1710.5
"May 04, 2020",1725.9,1722.9,1735.5,1711.8
"May 01, 2020",1712,1705.7,1723.1,1688
"Apr 30, 2020",1704.9,1737,1745,1697.7
"Apr 29, 2020",1722.4,1735,1741.8,1718
"Apr 28, 2020",1731.2,1731.8,1740,1712.7
