bit_high,gold_high
584.89,1963.3
579.97,1975.2
596.68,1959.7
596.01,1948.3
594.24,1947.4
591.2,1944.3
600.52,1956.6
599.15,1956.6
591.14,1980.4
590.07,2001.2
585.8,1985.8
574.97,1983
583.38,1987
581.1,1963.4
579.53,1944.1
577.86,1970.3
583.5,1963.1
585.32,1963.1
591.9,2015.6
589.87,2024.6
584.47,2000.8
580.71,1970
582.73,1974.8
580.41,1961
576.32,2040.5
578.61,2060.8
579.94,2089.2
578.25,2081.8
704.97,2070.3
577.6,2037.7
604.97,2009.5
615.2,2005.4
610.61,1987.3
611.95,1998.4
616.48,2000
629.3,1971.3
627.58,1933.6
627.45,1927.1
630.77,1899
610.62,1870.5
612.03,1846.1
612.16,1837.6
610.73,1843.7
610.36,1847.2
609.61,1843
612.38,1847.7
612.41,1846.3
611.27,1854.6
608.82,1857
599.78,1835
603.7,1821.3
605.92,1788.7
604.87,1813.9
608.46,1827.1
608.97,1823.5
606.9,1808.6
607.23,1804
608.78,1796.6
615,1810.7
614.21,1801.5
613.2,1793.6
612.68,1775.6
613.65,1765.2
612.68,1756.8
619.43,1757.5
619.56,1759.6
618.35,1770.5
618.81,1772.6
642.35,1767
642.51,1747.5
639.52,1726
640.46,1741.9
641.4,1747.3
642.18,1754.1
641.29,1771
639.34,1774.5
637.27,1767.1
630.83,1757.3
633.26,1743.3
659.89,1768
661.2,1731.35
654.32,1735.9
662.54,1768.3
678.39,1779.8
687.88,1785.1
688.43,1779.6
720.19,1800
714.91,1783
707.21,1765.1
734.36,1744.5
735.78,1737.2
744.43,1734.2
706.64,1752.7
706.38,1750.5
714.13,1733.4
711.66,1733.7
714.63,1735.5
741.23,1723.1
723.02,1745
719.79,1741.8
717.37,1740
705.61,1753
708.03,1765.5
716.93,1769.2
745.98,1747.1
751.91,1720.8
751.43,1722
755.34,1741.3
752.26,1771.2
744.33,1762.7
754.01,1789.5
750.93,1773.5
744.24,1740.6
741.25,1754.3
740.96,1693.9
738.29,1740.8
738.1,1713.5
737.04,1651.5
745.39,1645.2
755.48,1611
779.02,1642.2
772.32,1672.5
769.23,1659.3
769.18,1678
762.48,1695
769.02,1691.4
773.41,1583.7
773.48,1530
776.96,1508
774.16,1551.1
781.26,1561.5
790.33,1578.6
780.77,1604.2
780.27,1655.2
783.94,1677.6
791.57,1679.3
791.26,1712.1
793.73,1703.6
800.02,1687.2
833.13,1661.1
874.68,1663.8
920.26,1626
920.49,1667.1
895.24,1680.3
909.32,1676.7
937.91,1681.6
974.51,1711.8
982.57,1671.2
971.59,1645.5
965.47,1634.8
1001.61,1628.3
1031.68,1588.45
1035.47,1586.25
1148.54,1608.4
1150.63,1602
1027.42,1593.9
900.86,1597.9
936.13,1601.5
910.47,1598.3
911.32,1592.4
917.65,1587
828.21,1602.3
835.05,1619.6
838.9,1615.3
826.43,1612
836.66,1603.6
906.38,1607.1
913.67,1612.8
905.28,1601.4
901.49,1593.5
928.93,1585.5
938.38,1593.8
927.98,1562.7
925.61,1559.05
905.7,1588
919.32,1583.4
922.56,1582.2
921.89,1573.9
